Q. No,Type,Section,Key/Range,Marks
1,MCQ,GA,A,1
2,MCQ,GA,C,1
3,MCQ,GA,B,1
4,MCQ,GA,B,1
5,MCQ,GA,B,1
6,MCQ,GA,A,2
7,MCQ,GA,D,2
8,MCQ,GA,D,2
9,MCQ,GA,B,2
10,MCQ,GA,C,2
1,MCQ,ME,B,1
2,MCQ,ME,B,1
3,MCQ,ME,A,1
4,MCQ,ME,B,1
5,MCQ,ME,B,1
6,MCQ,ME,B,1
7,MCQ,ME,D,1
8,MCQ,ME,B,1
9,MCQ,ME,C,1
10,MCQ,ME,A,1
11,MCQ,ME,A,1
12,MCQ,ME,C,1
13,MCQ,ME,A,1
14,MCQ,ME,B,1
15,MCQ,ME,B,1
16,MCQ,ME,A,1
17,MCQ,ME,C,1
18,MCQ,ME,C,1
19,NAT,ME,1.00 to 1.20,1
20,NAT,ME,1 to 1,1
21,NAT,ME,8.00 to 8.50,1
22,NAT,ME,0.045 to 0.055,1
23,NAT,ME,0.20 to 0.22,1
24,NAT,ME,0.45 to 0.52,1
25,NAT,ME,57.000 to 58.000,1
26,MCQ,ME,B,2
27,MCQ,ME,C,2
28,MCQ,ME,C,2
29,MCQ,ME,C,2
30,MCQ,ME,C,2
31,MCQ,ME,C,2
32,MCQ,ME,A,2
33,MCQ,ME,B,2
34,MCQ,ME,B,2
35,MCQ,ME,D,2
36,NAT,ME,52.00 to 54.00,2
37,NAT,ME,2.55 to 2.65,2
38,NAT,ME,0.48 to 0.52,2
39,NAT,ME,29.8 to 30.1,2
40,NAT,ME,33.00 to 33.50,2
41,NAT,ME,1.00 to 1.20,2
42,NAT,ME,9.50 to 10.50,2
43,NAT,ME,10.6 to 10.8,2
44,NAT,ME,2.45 to 2.55,2
45,NAT,ME,445.00 to 450.00,2
46,NAT,ME,1402.0 to 1406.0,2
47,NAT,ME,33.50 to 34.30,2
48,NAT,ME,0.498 to 0.498,2
49,NAT,ME,0.39 to 0.49,2
50,NAT,ME,0.69 to 0.70,2
51,NAT,ME,0 to 0,2
52,NAT,ME,6.31 to 6.35,2
53,NAT,ME,8.00 to 9.00,2
54,NAT,ME,419.00 to 421.00,2
55,NAT,ME,968.80 to 969.20,2
